Name,Genre
并行与分布式计算,云计算与大数据
大数据分析与处理,云计算与大数据
商务智能,云计算与大数据
软件仿真技术,系统仿真
虚拟现实与增强现实,系统仿真
计算机图形学基础,系统仿真
数字图像处理及应用,系统仿真
认知计算,智能化软件
知识工程,智能化软件
智能计算,智能化软件
机器学习与模式识别,智能化软件
服务计算原理及应用,软件服务工程
软件项目管理,软件服务工程
Web 设计与社交平台开发,软件服务工程
软件工程经济学,软件服务工程
EDA 技术,嵌入式软件
嵌入式软件设计,嵌入式软件
大数据分析与处理,大数据
大数据计算架构,大数据
数据采集与物联网,大数据
数据科学导论,大数据
量子计算,计算机体系结构
并行与分布式计算,计算机体系结构
存储技术,计算机体系结构
云计算技术,计算机体系结构
软件测试,软件工程
软件计划与管理,软件工程
软件体系结构,软件工程
面向对象软件工程,软件工程
虚拟现实技术,媒体计算
数字图像处理,媒体计算
多媒体技术,媒体计算
计算机图形学,媒体计算
网络工程与应用,计算机网络
网络管理,计算机网络
网络程序设计,计算机网络
计算机视觉,人工智能
自然语言处理,人工智能
设计思维,大类专业选修
组织行为学,大类专业选修
工程伦理,大类专业选修
网络空间安全,大类专业选修
程序设计语言理论,大类专业选修
数字信号处理,大类专业选修
软件质量保障与测试,大类专业选修
软件设计与体系结构,大类专业选修
编译技术及应用,大类专业选修
Linux 原理与应用,大类专业选修
Windows 原理与应用,大类专业选修
移动编程技术,大类专业选修
软件构造基础,大类专业选修
计算机接口与通信,大类专业选修
组合数学,大类专业选修
认知过程的信息处理,大类专业选修
软件技术基础,大类专业选修
物联网导论,大类专业选修
电路与电子学基础,大类专业选修
