User_Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,labels
1,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
2,2,1,1,4,3,3,4,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,5
3,2,1,1,1,2,2,1,4,5,4,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,8
4,1,1,1,1,1,2,1,2,1,1,2,4,5,3,5,2,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,6
5,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,3,4,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1
6,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,4,4,5,3,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,2,1,1,1,2
7,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,4,4,4,4,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,3
8,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,5,4,3,3,1,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,7
9,1,2,1,1,2,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,2,1,2,3,3,4,4,1,1,2,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,9
10,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,4,5,3,1,2,1,1,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,4
11,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,5,5,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,0
12,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
13,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
14,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
15,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
16,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
17,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
18,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
19,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
20,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
21,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
22,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
23,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
24,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
25,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
26,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
27,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
28,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
29,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
30,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
31,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
32,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
33,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
34,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
35,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
36,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
37,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
38,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
39,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
40,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
41,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
42,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
43,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
44,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
45,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
46,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
47,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
48,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
49,5,3,3,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,10
